numRep	nbrJoueur	txtJ1	b1J1	b2J1	b3J1	b4J1	didJ1	voixJ1	sonJ1	imageJ1	txtJ2	b1J2	b2J2	b3J2	b4J2	didJ2	voixJ2	sonJ2	imageJ2	txtJ3	b1J3	b2J3	b3J3	b4J3	didJ3	voixJ3	sonJ3	imageJ3	txtJ4	b1J4	b2J4	b3J4	b4J4	didJ4	voixJ4	sonJ4	imageJ4	mc1	mc2	mc3	mc4	mc5	mc6	mc7	mc8	mc9	mc10	mc11
			GO				Regardez votre père et jouez l'étonnement / vous ne comprenez pas ce qu'il raconte					GO																																				
												GO				Prenez un ton explicatif																																
											L’aigle bat joyeusement des ailes	GO																																				
											parce qu’il saisit l’ensemble et le détail / d’un même coup d’oeil.	GO																																				
				NEXT							Je l’envie.	GO																																				
			GO				Regardez votre père / vous ne comprenez toujours pas					GO				Continuez d'expliquer																																
												GO																																				
											Prends le monde	GO																																				
											et,	GO																																				
											devant lui,	GO																																				
											pose un trou de serrure,	GO																																				
												GO				Un silence																																
				NEXT							que vois-tu ?	GO																																				
			GO				Hochez la tête / Vous ne comprenez toujours pas					GO																																				
												GO																																				
											La portion du monde qui correspond au trou de serrure.	GO																																				
												GO				Faites un rond avec votre main / et mettez le devant votre œil / comme si vous regardiez à travers																																
											Celui qui se fixe au sol est un trou de serrure.	GO																																				
												GO				Un silence																																
											Du monde, il sait ce que savent les trous de serrure.	GO																																				
												GO				Un silence / Regardez les autres joueurs																																
											Icare a volé vers le ciel parce qu’il refusait d’être un trou de serrure.	GO																																				
			GO				Vous comprenez enfin : regardez les autres joueurs / tout sourire / en hochant la tête					GO																																				
			GO				Reprenez votre déplacement dans l'espace / vous êtes de nouveau le narrateur					GO				Prenez votre enfant par la main / et amenez le devant la table																																
			GO				Asseyez vous sur la table en regardant au loin / comme devant une toile / sur le banc d'un musée					GO				Asseyez vous auprès de votre enfant																																
		Plus tard,																																														
		on s’est rendu au musée																																														
										Une ambiance de musée		GO						Une ambiance de musée			GO						Une ambiance de musée			GO						Une ambiance de musée												
		pour voir la toile	GO				Pointez la toile du doigt / vous êtes heureux.se de la voir enfin																																									
		en vrai.	GO				Jouez la déception																																									
		Dans le tableau de Bruegel,	GO																																													
		Icare est presque ignoré,	GO																																		Photo zoomée d'Icare											
		comme vous le voyez.	GO							Photo zoomée d'Icare		GO							Photo zoomée d'Icare		GO							Photo zoomée d'Icare		GO																		
		Ces jambes qui sortent de l’eau :	GO																																													
		tout petit,	GO																																													
		quasi ridicule, n’est-ce pas ?	GO																																													
		Et personne pour s’en occuper.	GO																																													
		Le paysan qui laboure,	GO							Photo zoomée du paysan									Photo zoomée du paysan									Photo zoomée du paysan									Photo zoomée du paysan											
		le pécheur,	GO							Photo zoomée du pêcheur									Photo zoomée du pêcheur									Photo zoomée du pêcheur									Photo zoomée du pêcheur											
		le marin :	GO							Photo zoomée du marin									Photo zoomée du marin									Photo zoomée du marin									Photo zoomée du marin											
		rien,	GO																																													
			GO				Un silence																																									
		personne ne voit le malheureux Icare,	GO																																													
		Tout le monde s’en fiche,	GO																																													
		chacun vaque à ses occupations.	GO																																													
			GO				Un silence																																									
			GO				Regardez votre père																																									
			GO				Prenez la voix d'un.e enfant																																									
		Tu vas mourir,	GO																																													
			GO				Reprenez votre voix de narrateur																																									
		j’ai dit à Papa ?	GO																																													
											Mourir ?	GO				Regardez votre enfant avec étonnement																																
		Si tu es Icare,	GO				Reprenez la voix de l'enfant																																									
		et que Icare,	GO									GO				Coupez la phrase du narrateur en lui mettant la main sur la bouche																																
		Il me coupe,	GO				Reprenez la voix du narrateur																																									
		impérial	GO								« La nature de l’homme n’est pas immuable.	GO				Prenez un air impérial (je sais pas non plus ce que ça eut dire démmerdez vous)																																
											L’Homme n’est devenu l’Homme / qu’en ne restant pas ce qu’il était.	GO																																				
											Et il ne restera Homme / qu’à la condition de changer ce qu’il est, fils.	GO																																				
											Je veux voler, voler, pas chuter ».	GO																																				
			GO				Un silence					GO				Un silence																																
			GO				Regardez les autres joueurs					GO				Immobilisez vous de nouveau en pleine action / comme sur une photographie																																
		Plus tard j’ai compris / que des hommes de peu d’obstination / tenaient mon père pour un charlatan,	GO																																													
		un être vantard	GO																																													
		qu’ils n’auraient voulu fréquenter pour rien au monde.	GO																																													
			GO				Jouez la colère																																									
		Vous avez tort,	GO																																													
		vous,	GO																																													
		les tièdes,	GO																																													
		les incrédules !	GO																																													
		Mon père avait le courage de ses désirs.	GO																																													
			GO				Un silence																																									
			GO				Reprenez votre déambulation dans l'espace																																									
		Le jour vint où il voulut démontrer au monde entier / qu’il était Icare	GO																																													
		sans la chute.	GO																																													
		Voler ?	GO																																													
		Oui, il volerait,	GO																																													
		et aux yeux du monde entier !	GO									GO				Arrêtez vous pour faire bien face aux autres spectateurs : / ils sont votre assemblée																																
			GO				Placez vous devnt votre père comme si vous étiez dans une assemblée														GO				Placez vous devnt votre enemi comme si vous étiez dans une assemblée					GO				Placez vous devnt votre mari comme si vous étiez dans une assemblée														
			GO																		GO				Vous êtes très irrité d'être spectateur de cette conférence					GO				Vous êtes fière de lui														
		Les semaines de préparation furent denses,	GO																																													
		les cartons d’invitation lancés au gratin de la science et de la presse.	GO																																													
		Le grand moment arrive.	GO																																													
		Papa regarde le parterre des invités.	GO							Une ambiance de foule excitée		GO						Une ambiance de foule excitée			GO						Une ambiance de foule excitée			GO						Une ambiance de foule excitée												
											Je vous remercie...	GO																																				
			GO							La foule se tait, laissant place à une ambiance de foule chuchotante		GO						La foule se tait, laissant place à une ambiance de foule chuchotante			GO						La foule se tait, laissant place à une ambiance de foule chuchotante			GO						La foule se tait, laissant place à une ambiance de foule chuchotante												
											Je vous remercie d’avoir accepté	GO				Ayez un petit rire étouffé / vous venez de faire taire tout le monde !																																
											d’être les spectateurs de mon ascension.	GO																																				
											Reconnaissez pourtant	GO																																				
											que vous êtes venus comme des convives de la dernière heure,	GO																																				
											des sceptiques	GO																																				
											qui se présentent in extremis au banquet / alors que le maître de maison les attendait plus tôt,	GO																																				
											sûr qu’ils arriveraient dans l’emballement,	GO																																				
											dans l’enthousiasme,	GO																																				
											avec au coeur un désir fou pour la fête ;	GO																																				
											et non comme des spectateurs énervés,	GO																																				
											fourbus par une journée qui leur pèse sur les paupières,	GO																																				
											des spectateurs aigres,	GO																																				
											fermés,	GO																																				
											plus prompts à rejeter qu’à prendre,	GO																																				
											de mauvais spectateurs en somme,	GO																																				
											des spectateurs sans talent, sans générosité,	GO																																				
											qui ne méritent pas l’intérêt qu’on leur porte.	GO																																				
											Oubliez votre incrédulité.	GO				Riez / c'était une blague																																
											Soyez des amis véritables,	GO				Reprenez amicalement																																
											partagez l’insensé avec moi.	GO																																				
											Dites oui à l’impensable.	GO																																				
											Pensez à la juste rétribution de votre présence ici :	GO																																				
											j’y étais ! pourrez-vous dire,	GO																																				
											j’y étais ! j’ai vu l’exploit, je l’ai vu, de mes yeux vu ! »	GO																																				
												GO				Un silence																																
																																																
		Quelqu’un se lève, objecte	GO									GO									GO				Levez vous et levez l'index vers le ciel / en signe d'objection																							
																					GO				Prenez la voix d'une personne très agaçante																							
																				« Vous oubliez le pied du cosmonaute sur la lune.	GO																											
																				Réalisé	GO																											
																				depuis longtemps	GO																											
																				le rêve d’Icare,	GO																											
																				mais sous une forme imprévue !	GO																											
																				Six chevaux qui tirent une voiture	GO																											
																				la font sûrement rouler plus vite qu’un seul,	GO																											
																				mais rien ne remplace le moteur,	GO																											
																				et ce n’est pas en perfectionnant la bougie	GO																											
																				qu’on est arrivé à l’électricité.	GO																											
																				Pour faire l’oiseau, il fallait inventer quoi ?	GO																											
																					GO				Un silence																							
																				L’avion !	GO																											
																					GO				Un silence																							
																				C’est fait ! Vous comprenez ?	GO																											
																				Donc,	GO																											
																				voici ma question :	GO																											
																				votre velléité d’envol n’apparaît-elle pas réactionnaire,	GO																											
																				rétrograde,	GO																											
																				puérile même ? »	GO																											
		Mon père fixe longuement son contradicteur.	GO									GO				Regardez longement et fixement / votre contradicteur avec suspicion																																
											« Icare a volé	GO																																				
											et a chuté,	GO																																				
											c’est un fait indéniable.	GO																																				
											Et Jésus	GO																																				
											a réussi son ascension	GO																																				
											(en ayant recours a des moyens non homologués, il faut le préciser.)	GO																																				
											On dira donc :	GO																																				
											Icare tombe,	GO																																				
											Dieu grimpe.	GO																																				
											On dira :	GO																																				
											Dieu réussit,	GO																																				
											là où l’Homme échoue.	GO																																				
											Eh bien, c’est précisément ce que l’expérience / à laquelle je vais me livrer / entend réfuter.	GO																																				
											Ah, il serait pratique de diviser le monde / entre les « Icare » et les « Jésus »,	GO																																				
											et, pour être complet, chacun d’entre nous dans sa vie,	GO																																				
											selon les moments, selon les situations,	GO																																				
											peut être Icare et puis Jésus	GO																																				
											ou Jésus et puis Icare,	GO																																				
											tant nous sommes faits d’une succession de chutes et d’élévations.	GO																																				
											Pourtant ce serait cautionner le malentendu.	GO																																				
											Non,	GO																																				
											je ne vous laisserai pas croire que cette bipartition du monde me satisfait.	GO																																				
											Serait-elle exacte que je la contesterais encore.	GO																																				
											Donc,	GO																																				
											entre le scepticisme repu de lui-même	GO																																				
											et l’idéalisme de ceux qui croient l’envol réservé à la caste divine,	GO																																				
											je veux inscrire la possibilité qu’un homme,	GO																																				
											un homme tout bête,	GO																																				
											moi !	GO																																				
											réussisse là où régnait le privilège de Dieu,	GO																																				
											et en aucun cas ne soit voué à subir le sort du malheureux Icare.	GO																																				
												GO				Un silence																																
											Sur la page du ciel, devant vous, je vais maintenant écrire un texte nouveau. »	GO																																				
							étendez les bras comme pour qu'on vous mette un manteau / ou comme Jésus à vous de voir					GO																																				
																																																
		Maman qui entre	GO																																													
																														GO				Entrez et dirigez vous vers votre mari / vous êtes anxieuse														
																													« Tes ailes. Voici tes ailes.	GO				Prenez la voix de ce que vous pensez être la mère														
		(Elle aide papa à les fixer).	GO																																													
																														GO				Aidez votre mari imaginaire à fixer ses ailes imaginaires														
		Je ne sais pas si tu seras jamais un oiseau,	GO																											GO				Reprenez la voix de la mère														
		mais tu es un seigneur ».	GO																																													
		Elle pleure,	GO																											GO				Prenez la main de votre mari et pleurez en vous éloignant														
		elle l’embrasse.	GO																											GO				Sautez au cou de votre mari et pleurez lui dans la nuque														
		Mon père me prend dans ses bras	GO									GO				Prenez le narrateur dans vos bras														GO				Eloignez vous de nouveau dans la foule														
											« Fils,	GO																																				
											le rêve d’Icare	GO																																				
											est ton héritage ».	GO																																				
			GO				Prenez la voix d'un.e enfant																																									
		Tu reviendras ?	GO																																													
							Reprenez la voix du narrateur																																									
		j’ai dit.									« Je reviendrai te chercher.	GO																																				
											Je te le promets,	GO																																				
												GO				Un silence																																
											on fera le tour du monde en tandem ».	GO																																				
												GO				Riez, c'était là encore une blague																																
			GO				Ayez un petit rire étouffé																																									
		Je ris, il rit.	GO									GO				Immobilisez vous de nouveau en pleine action / comme sur une photographie																																
			GO				Un silence																																									
		Le vol a mal tourné bien sûr.	GO																																													
		Papa a grimpé sur la falaise,	GO																																													
			GO				Un silence																																									
		il a visé le soleil,	GO																																													
			GO				Un silence																																									
		a secoué ses ailes,	GO																																													
			GO				Un silence																																									
		s’est lancé,	GO																																													
			GO				Un long silence																																									
		s’est écrasé sur les vagues.	GO																																													
		Après sa chute, sa voix bruissait encore dans les nuages	GO																																													
		« Je survolerai la terre,	GO				Prenez la voix de votre père																																									
		je nommerai les infamies que je vois,	GO																																													
		je nommerai aussi la beauté du monde ».	GO																																													
																																																
88																																																
